date,year,month,quarter,country_id,area_id,salesperson_id,account_id,tier,plan_revenue,actual_revenue,last_year_revenue,windfall_flag,shortfall_flag,sales_driven,healthy_prev3,actual_adj
2024-01-01,2024,1,Q1,PL,PL_N,SP_BIA_001,ACC_T1_SP_BIA_001_0001,1,8941.951131370071,9210.898893857111,7440.401123122667,0,0,0,0,9210.898893857111
2024-02-01,2024,2,Q1,PL,PL_N,SP_BIA_001,ACC_T1_SP_BIA_001_0001,1,8941.951131370071,8761.233837013295,7440.401123122667,0,0,0,1,8761.233837013295
2024-03-01,2024,3,Q1,PL,PL_N,SP_BIA_001,ACC_T1_SP_BIA_001_0001,1,10219.372721565795,11954.465373526951,8503.315569283048,1,0,0,1,10219.372721565795
2024-04-01,2024,4,Q2,PL,PL_N,SP_BIA_001,ACC_T1_SP_BIA_001_0001,1,10219.372721565795,11030.843159435024,8503.315569283048,0,0,0,1,11030.843159435024
2024-05-01,2024,5,Q2,PL,PL_N,SP_BIA_001,ACC_T1_SP_BIA_001_0001,1,10219.372721565795,11915.425922578961,8503.315569283048,0,0,0,1,11915.425922578961
2024-06-01,2024,6,Q2,PL,PL_N,SP_BIA_001,ACC_T1_SP_BIA_001_0001,1,11496.794311761518,8816.451312471187,9566.230015443427,0,1,1,1,8816.451312471187
2024-07-01,2024,7,Q3,PL,PL_N,SP_BIA_001,ACC_T1_SP_BIA_001_0001,1,11496.794311761518,12608.86375878871,9566.230015443427,1,0,1,1,12608.86375878871
2024-08-01,2024,8,Q3,PL,PL_N,SP_BIA_001,ACC_T1_SP_BIA_001_0001,1,11496.794311761518,12222.52224781903,9566.230015443427,0,0,0,1,12222.52224781903
2024-09-01,2024,9,Q3,PL,PL_N,SP_BIA_001,ACC_T1_SP_BIA_001_0001,1,11496.794311761518,12288.996818455778,9566.230015443427,0,0,0,1,12288.996818455778
2024-10-01,2024,10,Q4,PL,PL_N,SP_BIA_001,ACC_T1_SP_BIA_001_0001,1,11496.794311761518,13346.112409031773,9566.230015443427,0,0,0,1,13346.112409031773
2024-11-01,2024,11,Q4,PL,PL_N,SP_BIA_001,ACC_T1_SP_BIA_001_0001,1,11496.794311761518,11513.820003828467,9566.230015443427,0,1,1,1,11513.820003828467
2024-12-01,2024,12,Q4,PL,PL_N,SP_BIA_001,ACC_T1_SP_BIA_001_0001,1,10219.372721565795,10263.653013229212,8503.315569283048,0,1,1,1,10263.653013229212
2024-01-01,2024,1,Q1,PL,PL_N,SP_BIA_001,ACC_T1_SP_BIA_001_0002,1,5406.001263794908,4429.238852520081,4713.658326814037,0,0,0,0,4429.238852520081
2024-02-01,2024,2,Q1,PL,PL_N,SP_BIA_001,ACC_T1_SP_BIA_001_0002,1,5406.001263794908,5974.574822300573,4713.658326814037,1,0,0,0,5406.001263794908
2024-03-01,2024,3,Q1,PL,PL_N,SP_BIA_001,ACC_T1_SP_BIA_001_0002,1,6178.28715862275,7786.400766076876,5387.0380877874695,1,0,0,0,6178.28715862275
2024-04-01,2024,4,Q2,PL,PL_N,SP_BIA_001,ACC_T1_SP_BIA_001_0002,1,6178.28715862275,7012.425958012845,5387.0380877874695,0,0,0,0,7012.425958012845
2024-05-01,2024,5,Q2,PL,PL_N,SP_BIA_001,ACC_T1_SP_BIA_001_0002,1,6178.28715862275,6315.4953809392455,5387.0380877874695,0,0,0,1,6315.4953809392455
2024-06-01,2024,6,Q2,PL,PL_N,SP_BIA_001,ACC_T1_SP_BIA_001_0002,1,6950.573053450595,6069.248448641306,6060.417848760903,0,0,0,1,6069.248448641306
2024-07-01,2024,7,Q3,PL,PL_N,SP_BIA_001,ACC_T1_SP_BIA_001_0002,1,6950.573053450595,7367.922140895699,6060.417848760903,1,0,0,1,6950.573053450595
2024-08-01,2024,8,Q3,PL,PL_N,SP_BIA_001,ACC_T1_SP_BIA_001_0002,1,6950.573053450595,6982.882931794581,6060.417848760903,0,0,0,1,6982.882931794581
2024-09-01,2024,9,Q3,PL,PL_N,SP_BIA_001,ACC_T1_SP_BIA_001_0002,1,6950.573053450595,5779.405117586994,6060.417848760903,0,1,1,1,5779.405117586994
2024-10-01,2024,10,Q4,PL,PL_N,SP_BIA_001,ACC_T1_SP_BIA_001_0002,1,6950.573053450595,8758.415818194062,6060.417848760903,1,0,1,0,8758.415818194062
2024-11-01,2024,11,Q4,PL,PL_N,SP_BIA_001,ACC_T1_SP_BIA_001_0002,1,6950.573053450595,8011.476444987913,6060.417848760903,0,0,0,1,8011.476444987913
2024-12-01,2024,12,Q4,PL,PL_N,SP_BIA_001,ACC_T1_SP_BIA_001_0002,1,6178.28715862275,7248.423217076702,5387.0380877874695,0,0,0,1,7248.423217076702
2024-01-01,2024,1,Q1,PL,PL_N,SP_BIA_001,ACC_T1_SP_BIA_001_0003,1,4841.3357855187705,5308.268355733825,4077.831815889858,0,0,0,0,5308.268355733825
2024-02-01,2024,2,Q1,PL,PL_N,SP_BIA_001,ACC_T1_SP_BIA_001_0003,1,4841.3357855187705,4756.5430987599475,4077.831815889858,0,1,1,1,4756.5430987599475
2024-03-01,2024,3,Q1,PL,PL_N,SP_BIA_001,ACC_T1_SP_BIA_001_0003,1,5532.955183450024,5309.596568730232,4660.379218159837,1,0,1,1,5309.596568730232
2024-04-01,2024,4,Q2,PL,PL_N,SP_BIA_001,ACC_T1_SP_BIA_001_0003,1,5532.955183450024,5530.951766389677,4660.379218159837,0,0,0,1,5530.951766389677
2024-05-01,2024,5,Q2,PL,PL_N,SP_BIA_001,ACC_T1_SP_BIA_001_0003,1,5532.955183450024,5837.910686943113,4660.379218159837,0,0,0,1,5837.910686943113
2024-06-01,2024,6,Q2,PL,PL_N,SP_BIA_001,ACC_T1_SP_BIA_001_0003,1,6224.574581381276,6047.980309896635,5242.9266204298165,0,0,0,1,6047.980309896635
2024-07-01,2024,7,Q3,PL,PL_N,SP_BIA_001,ACC_T1_SP_BIA_001_0003,1,6224.574581381276,6256.84861098483,5242.9266204298165,0,0,0,1,6256.84861098483
2024-08-01,2024,8,Q3,PL,PL_N,SP_BIA_001,ACC_T1_SP_BIA_001_0003,1,6224.574581381276,5928.102826321166,5242.9266204298165,0,0,0,1,5928.102826321166
2024-09-01,2024,9,Q3,PL,PL_N,SP_BIA_001,ACC_T1_SP_BIA_001_0003,1,6224.574581381276,5918.108627012483,5242.9266204298165,0,0,0,1,5918.108627012483
2024-10-01,2024,10,Q4,PL,PL_N,SP_BIA_001,ACC_T1_SP_BIA_001_0003,1,6224.574581381276,7198.51161645772,5242.9266204298165,1,0,0,1,6224.574581381276
2024-11-01,2024,11,Q4,PL,PL_N,SP_BIA_001,ACC_T1_SP_BIA_001_0003,1,6224.574581381276,6164.253127063023,5242.9266204298165,0,1,1,1,6164.253127063023
2024-12-01,2024,12,Q4,PL,PL_N,SP_BIA_001,ACC_T1_SP_BIA_001_0003,1,5532.955183450024,5789.851580399841,4660.379218159837,0,0,0,1,5789.851580399841
2024-01-01,2024,1,Q1,PL,PL_N,SP_BIA_001,ACC_T1_SP_BIA_001_0004,1,8004.79157825355,6379.369401719223,6675.579010243765,0,0,0,0,6379.369401719223
2024-02-01,2024,2,Q1,PL,PL_N,SP_BIA_001,ACC_T1_SP_BIA_001_0004,1,8004.79157825355,7759.820226961963,6675.579010243765,1,0,0,0,7759.820226961963
2024-03-01,2024,3,Q1,PL,PL_N,SP_BIA_001,ACC_T1_SP_BIA_001_0004,1,9148.33323228977,11430.084528056039,7629.233154564302,1,0,0,0,9148.33323228977
2024-04-01,2024,4,Q2,PL,PL_N,SP_BIA_001,ACC_T1_SP_BIA_001_0004,1,9148.33323228977,9690.030725436996,7629.233154564302,0,1,0,0,9690.030725436996
2024-05-01,2024,5,Q2,PL,PL_N,SP_BIA_001,ACC_T1_SP_BIA_001_0004,1,9148.33323228977,9786.324980931631,7629.233154564302,0,0,0,1,9786.324980931631
2024-06-01,2024,6,Q2,PL,PL_N,SP_BIA_001,ACC_T1_SP_BIA_001_0004,1,10291.874886325992,9731.451211416328,8582.88729888484,0,0,0,1,9731.451211416328
2024-07-01,2024,7,Q3,PL,PL_N,SP_BIA_001,ACC_T1_SP_BIA_001_0004,1,10291.874886325992,9891.077094326352,8582.88729888484,0,0,0,1,9891.077094326352
2024-08-01,2024,8,Q3,PL,PL_N,SP_BIA_001,ACC_T1_SP_BIA_001_0004,1,10291.874886325992,10380.734281812936,8582.88729888484,0,0,0,1,10380.734281812936
2024-09-01,2024,9,Q3,PL,PL_N,SP_BIA_001,ACC_T1_SP_BIA_001_0004,1,10291.874886325992,9764.679905678957,8582.88729888484,0,0,0,1,9764.679905678957
2024-10-01,2024,10,Q4,PL,PL_N,SP_BIA_001,ACC_T1_SP_BIA_001_0004,1,10291.874886325992,9597.338147626662,8582.88729888484,0,0,0,1,9597.338147626662
2024-11-01,2024,11,Q4,PL,PL_N,SP_BIA_001,ACC_T1_SP_BIA_001_0004,1,10291.874886325992,9357.003059994098,8582.88729888484,0,0,0,1,9357.003059994098
2024-12-01,2024,12,Q4,PL,PL_N,SP_BIA_001,ACC_T1_SP_BIA_001_0004,1,9148.33323228977,8855.562350282546,7629.233154564302,0,0,0,0,8855.562350282546
2024-01-01,2024,1,Q1,PL,PL_N,SP_BIA_001,ACC_T1_SP_BIA_001_0005,1,4328.387563130399,4778.793742151346,3641.5459390846295,0,0,0,0,4778.793742151346
2024-02-01,2024,2,Q1,PL,PL_N,SP_BIA_001,ACC_T1_SP_BIA_001_0005,1,4328.387563130399,4134.343892661023,3641.5459390846295,0,1,1,1,4134.343892661023
2024-03-01,2024,3,Q1,PL,PL_N,SP_BIA_001,ACC_T1_SP_BIA_001_0005,1,4946.728643577598,4591.99712419595,4161.76678752529,1,0,1,1,4591.99712419595
2024-04-01,2024,4,Q2,PL,PL_N,SP_BIA_001,ACC_T1_SP_BIA_001_0005,1,4946.728643577598,5531.484240908771,4161.76678752529,1,0,0,1,4946.728643577598
2024-05-01,2024,5,Q2,PL,PL_N,SP_BIA_001,ACC_T1_SP_BIA_001_0005,1,4946.728643577598,4811.690117622272,4161.76678752529,0,1,1,1,4811.690117622272
2024-06-01,2024,6,Q2,PL,PL_N,SP_BIA_001,ACC_T1_SP_BIA_001_0005,1,5565.069724024796,4915.91077686106,4681.987635965951,0,0,0,1,4915.91077686106
2024-07-01,2024,7,Q3,PL,PL_N,SP_BIA_001,ACC_T1_SP_BIA_001_0005,1,5565.069724024796,5849.878260512043,4681.987635965951,1,0,1,1,5849.878260512043
2024-08-01,2024,8,Q3,PL,PL_N,SP_BIA_001,ACC_T1_SP_BIA_001_0005,1,5565.069724024796,5896.420669523347,4681.987635965951,0,0,0,1,5896.420669523347
2024-09-01,2024,9,Q3,PL,PL_N,SP_BIA_001,ACC_T1_SP_BIA_001_0005,1,5565.069724024796,6028.5928916297535,4681.987635965951,0,0,0,1,6028.5928916297535
2024-10-01,2024,10,Q4,PL,PL_N,SP_BIA_001,ACC_T1_SP_BIA_001_0005,1,5565.069724024796,7361.960408688942,4681.987635965951,1,0,0,1,5565.069724024796
2024-11-01,2024,11,Q4,PL,PL_N,SP_BIA_001,ACC_T1_SP_BIA_001_0005,1,5565.069724024796,5433.9705876684775,4681.987635965951,0,1,0,1,5565.069724024796
2024-12-01,2024,12,Q4,PL,PL_N,SP_BIA_001,ACC_T1_SP_BIA_001_0005,1,4946.728643577598,6328.67270542357,4161.76678752529,1,0,0,1,4946.728643577598
2024-01-01,2024,1,Q1,PL,PL_N,SP_BIA_001,ACC_T1_SP_BIA_001_0006,1,4083.0682681400235,3229.93197554514,3407.6804340167027,0,0,0,0,3229.93197554514
2024-02-01,2024,2,Q1,PL,PL_N,SP_BIA_001,ACC_T1_SP_BIA_001_0006,1,4083.0682681400235,3398.9338292227862,3407.6804340167027,0,0,0,0,3398.9338292227862
